52.309864, 4.744063
52.310533, 4.742813
52.313758, 4.743159
52.314847, 4.771899
52.310616, 4.744116
52.311262, 4.742955
52.313116, 4.742768
52.314847, 4.771899
52.311319, 4.744290
52.311816, 4.743032
52.313462, 4.742971
52.314847, 4.771899
52.311918, 4.744326
52.312079, 4.743176
52.313515, 4.743031
52.314847, 4.771899
52.309755, 4.746943
52.310690, 4.745581
52.313711, 4.745949
52.314847, 4.771899
52.310382, 4.746988
52.311252, 4.745638
52.313555, 4.745925
52.314847, 4.771899
52.314847, 4.771899
52.314633, 4.771801
52.314266, 4.771641
52.314010, 4.770352
52.314847, 4.771899
52.314213, 4.771931
52.313445, 4.771491
52.313401, 4.769838
52.314847, 4.771899
52.313944, 4.771920
52.312794, 4.770846
52.312803, 4.769215
52.314847, 4.771899
52.313970, 4.771963
52.312303, 4.770406
52.312151, 4.768665
52.314847, 4.771899
52.313806, 4.771953
52.311849, 4.769761
52.311620, 4.767947
52.314847, 4.771899
52.313905, 4.771996
52.311306, 4.769593
52.311180, 4.767156
